"GeneID"	"geno"	"tpm"
"412"	"Olfr1426"	"OMPGFP"	30.5925284301931
"413"	"Olfr1427"	"OMPGFP"	24.3368055329788
"414"	"Olfr1428"	"OMPGFP"	27.3152528839779
"415"	"Olfr143"	"OMPGFP"	3.92049192434348
"416"	"Olfr1431"	"OMPGFP"	10.6919688827575
"417"	"Olfr1432"	"OMPGFP"	0
"418"	"Olfr1433"	"OMPGFP"	4.41283373048616
"419"	"Olfr1436"	"OMPGFP"	0
"420"	"Olfr1437"	"OMPGFP"	19.9692855878509
"421"	"Olfr144"	"OMPGFP"	2.91114019069991
"422"	"Olfr1440"	"OMPGFP"	39.1612078763911
"423"	"Olfr1441"	"OMPGFP"	1.21235295699886
"424"	"Olfr1442"	"OMPGFP"	11.8854657443377
"425"	"Olfr1443"	"OMPGFP"	7.91853400289851
"426"	"Olfr1444"	"OMPGFP"	1.4271004376845
"427"	"Olfr1445"	"OMPGFP"	0
"428"	"Olfr1446"	"OMPGFP"	4.35097390030246
"429"	"Olfr1447"	"OMPGFP"	6.58777620438185
"430"	"Olfr1448"	"OMPGFP"	2.20816275663903
"431"	"Olfr1449"	"OMPGFP"	0
"432"	"Olfr145"	"OMPGFP"	5.54358552309756
"433"	"Olfr1450"	"OMPGFP"	0
"434"	"Olfr1451"	"OMPGFP"	0.237161740718419
"435"	"Olfr1452-ps1"	"OMPGFP"	0
"436"	"Olfr1453"	"OMPGFP"	0
"437"	"Olfr1454"	"OMPGFP"	3.04124701486527
"438"	"Olfr1457"	"OMPGFP"	0.854254230249429
"439"	"Olfr1458"	"OMPGFP"	2.82586763783922
"440"	"Olfr1459"	"OMPGFP"	3.02128849224906
"441"	"Olfr146"	"OMPGFP"	0
"442"	"Olfr1461"	"OMPGFP"	3.83923243812057
"443"	"Olfr1462"	"OMPGFP"	0
"444"	"Olfr1463"	"OMPGFP"	4.50275612622732
"445"	"Olfr1465"	"OMPGFP"	0
"446"	"Olfr1466"	"OMPGFP"	1.3706818699504
"447"	"Olfr1467"	"OMPGFP"	1.89983224926675
"448"	"Olfr1469"	"OMPGFP"	3.50330305357455
"449"	"Olfr147"	"OMPGFP"	3.15715829547345
"450"	"Olfr1471"	"OMPGFP"	5.40610771807111
"451"	"Olfr1472"	"OMPGFP"	0
"452"	"Olfr1474"	"OMPGFP"	2.86175167133559
"453"	"Olfr1475"	"OMPGFP"	0
"454"	"Olfr1477"	"OMPGFP"	7.07646019718874
"455"	"Olfr148"	"OMPGFP"	1.71270128525151
"456"	"Olfr1480"	"OMPGFP"	1.88089812867724
"457"	"Olfr1484"	"OMPGFP"	3.3486321562805
"458"	"Olfr1487"	"OMPGFP"	2.22130658257141
"459"	"Olfr1489"	"OMPGFP"	13.0799765797531
"460"	"Olfr149"	"OMPGFP"	0
"461"	"Olfr1490"	"OMPGFP"	5.92427027993566
"462"	"Olfr1491"	"OMPGFP"	8.34870827942311
"463"	"Olfr1494"	"OMPGFP"	21.0793400275132
"464"	"Olfr1495"	"OMPGFP"	3.68817637833226
"465"	"Olfr1496"	"OMPGFP"	0.944587959976294
"466"	"Olfr1497"	"OMPGFP"	0
"467"	"Olfr1499"	"OMPGFP"	0
"468"	"Olfr15"	"OMPGFP"	25.5255347287803
"469"	"Olfr150"	"OMPGFP"	1.38389185300407
"470"	"Olfr1500"	"OMPGFP"	2.25927763526494
"471"	"Olfr1501"	"OMPGFP"	2.00520662091853
"472"	"Olfr1502"	"OMPGFP"	0.406242350820509
"473"	"Olfr1504"	"OMPGFP"	0.712140968903787
"474"	"Olfr1505"	"OMPGFP"	2.30648642167346
"475"	"Olfr1507"	"OMPGFP"	24.4690535359495
